id;clave;nombre;sentidoinventario;sentidopago;clasedoctoid;clavesis;sentidoinventarioapartados;sentidopagoapartados;sentidocostopromedio;hacereferencia;tipodistloteimportadoid;tipodoctocancelacionid;sentidoabonocliente;sentidoabonoproveedor;sentidoabonomismocorte;sentidoabonootrocorte;sentidoenprocesosalida;verif_exist;ensamblarkits
10;COTIZACION;COTIZACION;0;0;1;COTIZACION;0;0;0;N;0;null;0;0;0;0;0;N;N
11;COMPRA;COMPRA;1;-1;1;COMPRA;0;0;1;N;0;13;0;1;-1;-1;0;N;N
12;DEVOLUCION PROVEEDOR;DEVOLUCION A PROVEEDOR;-1;1;1;DEVOLUCIONPROVEDOR;0;0;-1;S;0;15;0;-1;1;1;0;N;N
13;CANCELACION COMPRA;CANCELACION COMPRA;-1;1;1;CANCELACIONCOMPRA;0;0;-1;S;0;null;0;-1;1;0;0;N;N
14;PEDIDO COMPRA;PEDIDO COMPRA;0;0;1;PEDIDOCOMPRA;0;0;1;N;0;null;0;0;0;0;0;N;N
15;CANCELACION DEVOLUCION PROVEEDO;CANCELACION DEVOLUCION A PROVEEDOR;1;-1;1;CANCELACIONDEVOLUCIONPROVEEDOR;0;0;0;S;0;null;0;1;-1;0;0;N;N
16;ORDEN DE  COMPRA;ORDEN DE COMPRA;0;0;1;ORDERNDECOMPRA;0;0;1;N;0;null;0;0;0;0;0;N;N
17;RECEPCION ORDEN DE COMPRA;RECEPCION DE ORDEN DE COMPRA;1;0;1;RECEPCIONORDENCOMPRA;0;0;0;N;0;null;0;0;0;0;0;N;N
18;CANCELACION ORDEN DE COMPRA;CANCELACION ORDEN DE COMPRA;0;1;1;CANCELACIONORDENCOMPRA;0;0;-1;N;0;null;0;0;0;0;0;N;N
20;COTIZACION;COTIZACION;0;0;2;COTIZACION;0;0;0;N;0;null;0;0;0;0;0;N;N
21;VENTA;VENTA;-1;1;2;VENTA;0;0;0;N;2;23;1;0;1;1;1;S;S
22;DEVOLUCION;DEVOLUCION;1;-1;2;DEVOLUCION;0;0;0;S;3;24;-1;0;-1;-1;0;N;N
23;CANCELACION;CANCELACION;1;-1;2;CANCELACION;0;0;0;S;4;null;-1;0;-1;0;0;N;N
24;CANCELACION DEVOLUCION;CANCELACION DEVOLUCION;-1;1;2;CANCELACIONDEVOLUCION;0;0;0;S;5;null;1;0;1;0;0;N;N
25;VENTA APARTADO;VENTA APARTADO;-1;0;2;VENTAAPARTADO;1;1;0;N;2;26;0;0;0;0;0;N;N
26;CANCELACION VENTA APARTADO;CANCELACION VENTA APARTADO;1;0;2;CANCELACION VENTA APARTADO;-1;-1;0;S;2;null;0;0;0;0;0;N;N
29;FACTURA ELECTRONICA;FACTURA ELECTRONICA;0;0;2;FACTURAELECTRONICA;0;0;0;N;0;null;0;0;0;0;0;N;N
30;TRASPASO SALIDA BORRADOR;TRASPASO SALIDA BORRADOR;0;0;3;TRASPASOSALIDABRRADOR;0;0;0;N;0;null;0;0;0;0;0;N;N
31;TRASPASO SALIDA;TRASPASO SALIDA;-1;0;3;TRASPASOSALIDA;0;0;0;N;2;33;0;0;0;0;1;N;S
32;DEVOLUCION TRASPASO SALIDA;DEVOLUCION TRASPASO SALIDA;1;0;3;DEVOLUCION TRASPASO SALIDA;0;0;0;S;3;null;0;0;0;0;0;N;N
33;CANCELACION TRASPASO SALIDA;CANCELACION TRASPASO SALIDA;1;0;3;CANCELACION TRASPASO SALIDA;0;0;0;S;5;null;0;0;0;0;0;N;N
