ID;ACTIVO;CREADO;CREADOPOR_USERID;MODIFICADO;MODIFICADOPOR_USERID;CLAVE;NOMBRE;DESCRIPCION;NOTA;FECHAINICIO;FECHAFIN;SIMBOLO;BANDERA
1;S;22.01.2022 07:49;;22.01.2022 07:49;;Tu;Contenedor externo;Tipo de caja de contención que sirve como contenedor de transporte externo, no especificado como equipo de transporte.;;01.06.2021;;;Embalaje
2;S;22.01.2022 07:49;;22.01.2022 07:49;;X1A;Tambor de acero;;;01.06.2021;;;Embalaje
3;S;22.01.2022 07:49;;22.01.2022 07:49;;X1B;Tambor de aluminio;;;01.06.2021;;;Embalaje
4;S;22.01.2022 07:49;;22.01.2022 07:49;;X1D;Tambor contrachapado;;;01.06.2021;;;Embalaje
5;S;22.01.2022 07:49;;22.01.2022 07:49;;X1F;Contenedor flexible;Contenedor de empaque de construcción flexible.;;01.06.2021;;;Embalaje
6;S;22.01.2022 07:49;;22.01.2022 07:49;;X1G;Tambor de fibra;;;01.06.2021;;;Embalaje
7;S;22.01.2022 07:49;;22.01.2022 07:49;;X1w;Tambor de madera;;;01.06.2021;;;Embalaje
8;S;22.01.2022 07:49;;22.01.2022 07:49;;X2C;Barril de madera;;;01.06.2021;;;Embalaje
9;S;22.01.2022 07:49;;22.01.2022 07:49;;X3A;Bidón de acero;;;01.06.2021;;;Embalaje
10;S;22.01.2022 07:49;;22.01.2022 07:49;;X3H;Bidón de plástico;;;01.06.2021;;;Embalaje
11;S;22.01.2022 07:49;;22.01.2022 07:49;;X43;Bolsa de gran tamaño;Bolsa de tela de plástico o de papel que tiene las dimensiones del pallet sobre el que está construido.;;01.06.2021;;;Embalaje
12;S;22.01.2022 07:49;;22.01.2022 07:49;;X44;Bolsa de plástico;Un tipo de bolsa de plástico, normalmente utilizada para envolver piezas promocionales, publicaciones, muestras de productos y / o catálogos.;;01.06.2021;;;Embalaje
13;S;22.01.2022 07:49;;22.01.2022 07:49;;X4A;Caja de acero;;;01.06.2021;;;Embalaje
14;S;22.01.2022 07:49;;22.01.2022 07:49;;X4B;Caja de aluminio;;;01.06.2021;;;Embalaje
15;S;22.01.2022 07:49;;22.01.2022 07:49;;X4C;Caja de  madera natural;;;01.06.2021;;;Embalaje
16;S;22.01.2022 07:49;;22.01.2022 07:49;;X4D;Caja de contrachapado;;;01.06.2021;;;Embalaje
17;S;22.01.2022 07:49;;22.01.2022 07:49;;X4F;Caja de madera reconstituida;;;01.06.2021;;;Embalaje
18;S;22.01.2022 07:49;;22.01.2022 07:49;;X4G;Caja de cartón;;;01.06.2021;;;Embalaje
19;S;22.01.2022 07:49;;22.01.2022 07:49;;X4H;Caja de plástico;;;01.06.2021;;;Embalaje
20;S;22.01.2022 07:49;;22.01.2022 07:49;;X5H;Bolsa de plástico tejido;;;01.06.2021;;;Embalaje
21;S;22.01.2022 07:49;;22.01.2022 07:49;;X5L;Bolsa textil;;;01.06.2021;;;Embalaje
22;S;22.01.2022 07:49;;22.01.2022 07:49;;X5M;Bolsa de papel;;;01.06.2021;;;Embalaje
23;S;22.01.2022 07:49;;22.01.2022 07:49;;X6H;Recipiente de plástico, Contenedor compuesto.;;;01.06.2021;;;Embalaje
24;S;22.01.2022 07:49;;22.01.2022 07:49;;X6P;Recipiente de vidrio, Contenedor compuesto.;;;01.06.2021;;;Embalaje
25;S;22.01.2022 07:49;;22.01.2022 07:49;;X7A;Estuche para carro;Tipo de contenedor portátil diseñado para almacenar equipo para el transporte en un automóvil.;;01.06.2021;;;Embalaje
26;S;22.01.2022 07:49;;22.01.2022 07:49;;X7B;Estuche de madera;Un estuche de madera para retener sustancias o artículos.;;01.06.2021;;;Embalaje
27;S;22.01.2022 07:49;;22.01.2022 07:49;;X8A;Pallet de madera;Plataforma o caja abierta de madera, en la que se conservan las mercancías para facilitar su manejo mecánico durante el transporte y almacenamiento.;;01.06.2021;;;Embalaje
28;S;22.01.2022 07:49;;22.01.2022 07:49;;X8B;Cajón de madera;Un contenedor de madera, en el que se conservan las mercancías para facilitar su manipulación mecánica durante el transporte y almacenamiento.;;01.06.2021;;;Embalaje
29;S;22.01.2022 07:49;;22.01.2022 07:49;;X8C;Madera flejada;Piezas sueltas o sin contenedor de madera atadas o envueltas.;;01.06.2021;;;Embalaje
30;S;22.01.2022 07:49;;22.01.2022 07:49;;XAA;Contenedor intermedio  para gráneles de plástico rígido;;;01.06.2021;;;Embalaje
31;S;22.01.2022 07:49;;22.01.2022 07:49;;XAB;Contenedor de fibra;Recipiente de contención de fibra, utilizado para retener sustancias o artículos.;;01.06.2021;;;Embalaje
32;S;22.01.2022 07:49;;22.01.2022 07:49;;XAC;Contenedor de papel;Recipiente de contención de papel, para retener sustancias o artículos.;;01.06.2021;;;Embalaje
33;S;22.01.2022 07:49;;22.01.2022 07:49;;XAD;Contenedor de madera;Recipiente de contención de madera, para retener sustancias o artículos.;;01.06.2021;;;Embalaje
34;S;22.01.2022 07:49;;22.01.2022 07:49;;XAE;Aerosol;Una unidad de cuenta que define el número de Aerosoles;;01.06.2021;;;Embalaje
35;S;22.01.2022 07:49;;22.01.2022 07:49;;XAF;Pallet modular con collares,  80cms * 60cms;Pallet de tamaño estándar con dimensiones de 80 centímetros por 60 centímetros (cms).;;01.06.2021;;;Embalaje
36;S;22.01.2022 07:49;;22.01.2022 07:49;;XAG;Pallet o empaquetado;La carga del pallet se asegura con una película de plástico transparente envuelta alrededor y luego encogido firmemente.;;01.06.2021;;;Embalaje
37;S;22.01.2022 07:49;;22.01.2022 07:49;;XAH;Pallet, 100cms X 110cms;Pallet tamaño estándar con dimensiones de 100 centímetros por 110 centímetros (cms).;;01.06.2021;;;Embalaje
38;S;22.01.2022 07:49;;22.01.2022 07:49;;XAI;Contenedor tipo concha;;;01.06.2021;;;Embalaje
39;S;22.01.2022 07:49;;22.01.2022 07:49;;XAJ;Cono;Contenedor utilizado en el transporte de material lineal como el hilo.;;01.06.2021;;;Embalaje
40;S;22.01.2022 07:49;;22.01.2022 07:49;;XAL;Esfera;Recipiente de contención esférico para retener sustancias o artículos.;;01.06.2021;;;Embalaje
41;S;22.01.2022 07:49;;22.01.2022 07:49;;XAM;Ampolleta no protegida;;;01.06.2021;;;Embalaje
42;S;22.01.2022 07:49;;22.01.2022 07:49;;XAP;Ampolleta protegida;;;01.06.2021;;;Embalaje
43;S;22.01.2022 07:49;;22.01.2022 07:49;;XAT;Atomizador;;;01.06.2021;;;Embalaje
44;S;22.01.2022 07:49;;22.01.2022 07:49;;XAV;Cápsula;;;01.06.2021;;;Embalaje
45;S;22.01.2022 07:49;;22.01.2022 07:49;;XB4;Cinturón;Banda utiliza para retener varios artículos juntos.;;01.06.2021;;;Embalaje
46;S;22.01.2022 07:49;;22.01.2022 07:49;;XBA;Barril;;;01.06.2021;;;Embalaje
47;S;22.01.2022 07:49;;22.01.2022 07:49;;XBB;Bobina;;;01.06.2021;;;Embalaje
48;S;22.01.2022 07:49;;22.01.2022 07:49;;XBC;Cajón para botellas / Estante para botellas;;;01.06.2021;;;Embalaje
49;S;22.01.2022 07:49;;22.01.2022 07:49;;XBD;Tablero;;;01.06.2021;;;Embalaje
50;S;22.01.2022 07:49;;22.01.2022 07:49;;XBE;Flejado;;;01.06.2021;;;Embalaje
51;S;22.01.2022 07:49;;22.01.2022 07:49;;XBF;Globo no protegido;;;01.06.2021;;;Embalaje
52;S;22.01.2022 07:49;;22.01.2022 07:49;;XBG;Bolso;Recipiente de material flexible con tapa abierta o cerrada.;;01.06.2021;;;Embalaje
53;S;22.01.2022 07:49;;22.01.2022 07:49;;XBH;Manojo;;;01.06.2021;;;Embalaje
54;S;22.01.2022 07:49;;22.01.2022 07:49;;XBI;Compartimiento;;;01.06.2021;;;Embalaje
55;S;22.01.2022 07:49;;22.01.2022 07:49;;XBJ;Cubeta;;;01.06.2021;;;Embalaje
56;S;22.01.2022 07:49;;22.01.2022 07:49;;XBK;Cesta;;;01.06.2021;;;Embalaje
57;S;22.01.2022 07:49;;22.01.2022 07:49;;XBL;Paca comprimida;;;01.06.2021;;;Embalaje
58;S;22.01.2022 07:49;;22.01.2022 07:49;;XBM;Cuenco;;;01.06.2021;;;Embalaje
59;S;22.01.2022 07:49;;22.01.2022 07:49;;XBN;Paca no comprimida;;;01.06.2021;;;Embalaje
60;S;22.01.2022 07:49;;22.01.2022 07:49;;XBO;Botella no-protegida y cilíndrica;Recipiente de forma cilíndrica de cuello estrecho sin material de empaque protector externo.;;01.06.2021;;;Embalaje
61;S;22.01.2022 07:49;;22.01.2022 07:49;;XBP;Globo protegido;;;01.06.2021;;;Embalaje
