id;sat_clave;sat_estado;sat_municipio;sat_localidad
1;00000;AGU;000;00
2;20000;AGU;001;01
3;20001;AGU;;
4;20002;AGU;;
5;20003;AGU;;
6;20004;AGU;;
7;20005;AGU;;
8;20006;AGU;;
9;20007;AGU;;
10;20008;AGU;;
11;20009;AGU;;
12;20010;AGU;001;01
13;20011;AGU;;
14;20012;AGU;;
15;20013;AGU;;
16;20014;AGU;;
17;20015;AGU;;
18;20016;AGU;001;01
19;20017;AGU;;
20;20018;AGU;001;01
21;20019;AGU;;
22;20020;AGU;001;01
23;20021;AGU;;
24;20022;AGU;;
25;20023;AGU;;
26;20024;AGU;;
27;20025;AGU;;
28;20026;AGU;;
29;20027;AGU;;
30;20028;AGU;;
31;20029;AGU;001;01
32;20030;AGU;001;01
33;20031;AGU;;
34;20032;AGU;;
35;20033;AGU;;
36;20034;AGU;;
37;20035;AGU;;
38;20036;AGU;;
39;20037;AGU;;
40;20038;AGU;;
41;20039;AGU;;
42;20040;AGU;001;01
43;20041;AGU;;
44;20042;AGU;;
45;20043;AGU;;
46;20044;AGU;;
47;20045;AGU;;
48;20046;AGU;;
49;20047;AGU;;
50;20048;AGU;;
51;20049;AGU;001;01
52;20050;AGU;001;01
53;20051;AGU;;
54;20052;AGU;;
55;20053;AGU;;
56;20054;AGU;;
57;20055;AGU;;
58;20056;AGU;;
59;20057;AGU;;
60;20058;AGU;;
61;20059;AGU;001;01
62;20060;AGU;001;01
63;20061;AGU;;
64;20062;AGU;;
65;20063;AGU;;
66;20064;AGU;001;01
67;20065;AGU;;
68;20066;AGU;;
69;20067;AGU;;
70;20068;AGU;;
71;20069;AGU;;
72;20070;AGU;001;01
73;20071;AGU;;
74;20072;AGU;;
75;20073;AGU;;
76;20074;AGU;;
77;20075;AGU;;
78;20076;AGU;;
79;20077;AGU;;
80;20078;AGU;001;01
81;20079;AGU;;
82;20080;AGU;001;01
83;20081;AGU;;
84;20082;AGU;;
85;20083;AGU;;
86;20084;AGU;;
87;20085;AGU;;
88;20086;AGU;;
89;20087;AGU;;
90;20088;AGU;;
91;20089;AGU;001;01
92;20090;AGU;;
93;20091;AGU;;
94;20092;AGU;;
95;20093;AGU;;
96;20094;AGU;;
97;20095;AGU;;
98;20096;AGU;;
99;20097;AGU;;
100;20098;AGU;;
101;20099;AGU;;
102;20100;AGU;001;01
103;20101;AGU;;
104;20102;AGU;;
105;20103;AGU;;
106;20104;AGU;;
107;20105;AGU;;
108;20106;AGU;;
109;20107;AGU;;
110;20108;AGU;;
111;20109;AGU;;
112;20110;AGU;001;01
113;20111;AGU;;
114;20112;AGU;;
115;20113;AGU;;
116;20114;AGU;;
117;20115;AGU;001;01
118;20116;AGU;001;01
119;20117;AGU;001;01
120;20118;AGU;001;01
121;20119;AGU;001;01
122;20120;AGU;001;01
123;20121;AGU;;
124;20122;AGU;;
125;20123;AGU;001;01
126;20124;AGU;001;01
127;20125;AGU;;
128;20126;AGU;001;
129;20127;AGU;001;01
130;20128;AGU;;
131;20129;AGU;001;01
132;20130;AGU;001;01
133;20131;AGU;;
134;20132;AGU;;
135;20133;AGU;;
136;20134;AGU;;
137;20135;AGU;001;01
138;20136;AGU;001;01
139;20137;AGU;001;01
140;20138;AGU;001;01
141;20139;AGU;;
142;20140;AGU;001;01
143;20141;AGU;;
144;20142;AGU;;
145;20143;AGU;;
146;20144;AGU;;
147;20145;AGU;;
148;20146;AGU;001;01
149;20147;AGU;;
150;20148;AGU;;
151;20149;AGU;001;01
152;20150;AGU;001;01
153;20151;AGU;;
154;20152;AGU;;
155;20153;AGU;;
156;20154;AGU;;
157;20155;AGU;;
158;20156;AGU;;
159;20157;AGU;001;01
160;20158;AGU;001;01
161;20159;AGU;001;01
162;20160;AGU;001;01
163;20161;AGU;;
164;20162;AGU;;
165;20163;AGU;;
166;20164;AGU;001;01
167;20165;AGU;;
168;20166;AGU;;
169;20167;AGU;;
170;20168;AGU;;
171;20169;AGU;001;01
172;20170;AGU;001;01
173;20171;AGU;;
174;20172;AGU;001;01
175;20173;AGU;;
176;20174;AGU;001;01
177;20175;AGU;001;01
178;20176;AGU;;
179;20177;AGU;001;01
180;20178;AGU;;
181;20179;AGU;001;01
182;20180;AGU;001;01
183;20181;AGU;;
184;20182;AGU;;
185;20183;AGU;;
186;20184;AGU;;
187;20185;AGU;;
188;20186;AGU;;
189;20187;AGU;;
190;20188;AGU;;
191;20189;AGU;;
192;20190;AGU;001;01
193;20191;AGU;;
194;20192;AGU;;
195;20193;AGU;;
196;20194;AGU;;
197;20195;AGU;;
198;20196;AGU;001;01
199;20197;AGU;;
200;20198;AGU;001;01
201;20199;AGU;001;01
202;20200;AGU;001;01
203;20201;AGU;;
204;20202;AGU;;
205;20203;AGU;;
206;20204;AGU;;
207;20205;AGU;001;01
208;20206;AGU;001;01
209;20207;AGU;001;01
210;20208;AGU;001;01
211;20209;AGU;;
212;20210;AGU;001;01
213;20211;AGU;;
214;20212;AGU;;
215;20213;AGU;;
216;20214;AGU;;
217;20215;AGU;;
218;20216;AGU;001;01
219;20217;AGU;001;01
220;20218;AGU;001;01
221;20219;AGU;001;01
222;20220;AGU;001;01
223;20221;AGU;;
224;20222;AGU;;
225;20223;AGU;;
226;20224;AGU;;
227;20225;AGU;;
228;20226;AGU;;
229;20227;AGU;;
230;20228;AGU;;
231;20229;AGU;001;01
232;20230;AGU;001;01
233;20231;AGU;;
234;20232;AGU;;
235;20233;AGU;;
236;20234;AGU;001;01
237;20235;AGU;001;01
238;20236;AGU;001;01
239;20237;AGU;001;01
240;20238;AGU;001;01
241;20239;AGU;001;01
242;20240;AGU;001;01
243;20241;AGU;;
244;20242;AGU;;
245;20243;AGU;;
246;20244;AGU;;
247;20245;AGU;;
248;20246;AGU;;
249;20247;AGU;001;01
250;20248;AGU;001;01
251;20249;AGU;001;01
252;20250;AGU;001;01
253;20251;AGU;;
