ID;ACTIVO;CREADO;CREADOPOR_USERID;MODIFICADO;MODIFICADOPOR_USERID;CLAVE_LOCALIDAD;CLAVE_ESTADO;DESCRIPCION
1;S;22.01.2022 07:53;;22.01.2022 07:53;;01;AGU;Aguascalientes
2;S;22.01.2022 07:53;;22.01.2022 07:53;;01;BCN;Ensenada
3;S;22.01.2022 07:53;;22.01.2022 07:53;;01;BCS;Ciudad Constitución
4;S;22.01.2022 07:53;;22.01.2022 07:53;;01;CAM;San Francisco de Campeche
5;S;22.01.2022 07:53;;22.01.2022 07:53;;01;COA;Ciudad Acuña
6;S;22.01.2022 07:53;;22.01.2022 07:53;;01;COL;Colima
7;S;22.01.2022 07:53;;22.01.2022 07:53;;01;CHH;Santa Rosalía de Camargo
8;S;22.01.2022 07:53;;22.01.2022 07:53;;01;CHP;Comitán de Domínguez
9;S;22.01.2022 07:53;;22.01.2022 07:53;;01;DIF;Ciudad de México
10;S;22.01.2022 07:53;;22.01.2022 07:53;;01;DUR;Victoria de Durango
11;S;22.01.2022 07:53;;22.01.2022 07:53;;01;GRO;Acapulco de Juárez
12;S;22.01.2022 07:53;;22.01.2022 07:53;;01;GUA;Acámbaro
13;S;22.01.2022 07:53;;22.01.2022 07:53;;01;HID;Actopan
14;S;22.01.2022 07:53;;22.01.2022 07:53;;01;JAL;Ameca
15;S;22.01.2022 07:53;;22.01.2022 07:53;;01;MEX;Ciudad Adolfo López Mateos
16;S;22.01.2022 07:53;;22.01.2022 07:53;;01;MIC;Apatzingán de la Constitución
17;S;22.01.2022 07:53;;22.01.2022 07:53;;01;MOR;Cuautla (Cuautla de Morelos)
18;S;22.01.2022 07:53;;22.01.2022 07:53;;01;NAY;Santiago Ixcuintla
19;S;22.01.2022 07:53;;22.01.2022 07:53;;01;NLE;Ciudad Apodaca
20;S;22.01.2022 07:53;;22.01.2022 07:53;;01;OAX;Juchitán (Juchitán de Zaragoza)
21;S;22.01.2022 07:53;;22.01.2022 07:53;;01;PUE;Atlixco
22;S;22.01.2022 07:53;;22.01.2022 07:53;;01;QUE;Querétaro
23;S;22.01.2022 07:53;;22.01.2022 07:53;;01;ROO;Cancún
24;S;22.01.2022 07:53;;22.01.2022 07:53;;01;SIN;Los Mochis
25;S;22.01.2022 07:53;;22.01.2022 07:53;;01;SLP;Ciudad Valles
26;S;22.01.2022 07:53;;22.01.2022 07:53;;01;SON;San Luis Río Colorado
27;S;22.01.2022 07:53;;22.01.2022 07:53;;01;TAB;Cárdenas
28;S;22.01.2022 07:53;;22.01.2022 07:53;;01;TAM;Altamira
29;S;22.01.2022 07:53;;22.01.2022 07:53;;01;TLA;Apizaco
30;S;22.01.2022 07:53;;22.01.2022 07:53;;01;VER;Acayucan
31;S;22.01.2022 07:53;;22.01.2022 07:53;;01;YUC;Mérida
32;S;22.01.2022 07:53;;22.01.2022 07:53;;01;ZAC;Fresnillo
33;S;22.01.2022 07:53;;22.01.2022 07:53;;02;AGU;Calvillo
34;S;22.01.2022 07:53;;22.01.2022 07:53;;02;BCN;Mexicali
35;S;22.01.2022 07:53;;22.01.2022 07:53;;02;BCS;La Paz
36;S;22.01.2022 07:53;;22.01.2022 07:53;;02;CAM;Ciudad del Carmen
37;S;22.01.2022 07:53;;22.01.2022 07:53;;02;COA;Frontera
38;S;22.01.2022 07:53;;22.01.2022 07:53;;02;COL;Manzanillo
39;S;22.01.2022 07:53;;22.01.2022 07:53;;02;CHH;Chihuahua
40;S;22.01.2022 07:53;;22.01.2022 07:53;;02;CHP;San Cristóbal de las Casas
41;S;22.01.2022 07:53;;22.01.2022 07:53;;02;DIF;Ciudad de México
42;S;22.01.2022 07:53;;22.01.2022 07:53;;02;DUR;Gómez Palacio
43;S;22.01.2022 07:53;;22.01.2022 07:53;;02;GRO;Chilpancingo de los Bravo
44;S;22.01.2022 07:53;;22.01.2022 07:53;;02;GUA;San miguel de Allende
45;S;22.01.2022 07:53;;22.01.2022 07:53;;02;HID;Apan
46;S;22.01.2022 07:53;;22.01.2022 07:53;;02;JAL;Ciudad Guzmán
47;S;22.01.2022 07:53;;22.01.2022 07:53;;02;MEX;Chimalhuacán
48;S;22.01.2022 07:53;;22.01.2022 07:53;;02;MIC;Los Reyes de Salgado
49;S;22.01.2022 07:53;;22.01.2022 07:53;;02;MOR;Cuernavaca
50;S;22.01.2022 07:53;;22.01.2022 07:53;;02;NAY;Tepic
51;S;22.01.2022 07:53;;22.01.2022 07:53;;02;NLE;San Pedro Garza García
52;S;22.01.2022 07:53;;22.01.2022 07:53;;02;OAX;Oaxaca de Juárez
53;S;22.01.2022 07:53;;22.01.2022 07:53;;02;PUE;Izúcar de Matamoros
54;S;22.01.2022 07:53;;22.01.2022 07:53;;02;QUE;San Juan del Rio
55;S;22.01.2022 07:53;;22.01.2022 07:53;;02;ROO;Cozumel
56;S;22.01.2022 07:53;;22.01.2022 07:53;;02;SIN;Culiacán Rosales
57;S;22.01.2022 07:53;;22.01.2022 07:53;;02;SLP;Ébano
58;S;22.01.2022 07:53;;22.01.2022 07:53;;02;SON;Agua Prieta
59;S;22.01.2022 07:53;;22.01.2022 07:53;;02;TAB;Villahermosa
60;S;22.01.2022 07:53;;22.01.2022 07:53;;02;TAM;Ciudad Camargo
61;S;22.01.2022 07:53;;22.01.2022 07:53;;02;TLA;Villa Vicente Guerrero
62;S;22.01.2022 07:53;;22.01.2022 07:53;;02;VER;Naranjos
63;S;22.01.2022 07:53;;22.01.2022 07:53;;02;YUC;Tizimín
64;S;22.01.2022 07:53;;22.01.2022 07:53;;02;ZAC;Jerez de García Salinas
65;S;22.01.2022 07:53;;22.01.2022 07:53;;03;AGU;San Francisco de los Romo
66;S;22.01.2022 07:53;;22.01.2022 07:53;;03;BCN;Tecate
67;S;22.01.2022 07:53;;22.01.2022 07:53;;03;BCS;Cabo San Lucas
68;S;22.01.2022 07:53;;22.01.2022 07:53;;03;CAM;Calkini
69;S;22.01.2022 07:53;;22.01.2022 07:53;;03;COA;Matamoros
70;S;22.01.2022 07:53;;22.01.2022 07:53;;03;COL;Tecoman
71;S;22.01.2022 07:53;;22.01.2022 07:53;;03;CHH;Cuauhtémoc
72;S;22.01.2022 07:53;;22.01.2022 07:53;;03;CHP;Tapachula de Córdova y Ordóñez
73;S;22.01.2022 07:53;;22.01.2022 07:53;;03;DIF;Ciudad de México
74;S;22.01.2022 07:53;;22.01.2022 07:53;;03;DUR;Ciudad Lerdo
75;S;22.01.2022 07:53;;22.01.2022 07:53;;03;GRO;Iguala de la Independencia
76;S;22.01.2022 07:53;;22.01.2022 07:53;;03;GUA;Celaya
77;S;22.01.2022 07:53;;22.01.2022 07:53;;03;HID;Pachuca de Soto
78;S;22.01.2022 07:53;;22.01.2022 07:53;;03;JAL;Guadalajara
79;S;22.01.2022 07:53;;22.01.2022 07:53;;03;MEX;Coacalco de Berriozabal
80;S;22.01.2022 07:53;;22.01.2022 07:53;;03;MIC;Ciudad Hidalgo
81;S;22.01.2022 07:53;;22.01.2022 07:53;;03;MOR;Galeana
82;S;22.01.2022 07:53;;22.01.2022 07:53;;03;NAY;Tuxpan
83;S;22.01.2022 07:53;;22.01.2022 07:53;;03;NLE;Ciudad General Escobedo
84;S;22.01.2022 07:53;;22.01.2022 07:53;;03;OAX;Salina Cruz
85;S;22.01.2022 07:53;;22.01.2022 07:53;;03;PUE;Puebla (Heroica Puebla)
86;S;22.01.2022 07:53;;22.01.2022 07:53;;03;ROO;Felipe Carrillo Puerto
87;S;22.01.2022 07:53;;22.01.2022 07:53;;03;SIN;Escuinapa de Hidalgo
88;S;22.01.2022 07:53;;22.01.2022 07:53;;03;SLP;Matehuala
89;S;22.01.2022 07:53;;22.01.2022 07:53;;03;SON;Heroica Caborca
90;S;22.01.2022 07:53;;22.01.2022 07:53;;03;TAB;Comalcalco
91;S;22.01.2022 07:53;;22.01.2022 07:53;;03;TAM;Ciudad Madero
92;S;22.01.2022 07:53;;22.01.2022 07:53;;03;TLA;Tlaxcala (Tlaxcala de Xicotencatl)
93;S;22.01.2022 07:53;;22.01.2022 07:53;;03;VER;Boca del RÍo
94;S;22.01.2022 07:53;;22.01.2022 07:53;;03;YUC;Ticul
95;S;22.01.2022 07:53;;22.01.2022 07:53;;03;ZAC;Zacatecas
96;S;22.01.2022 07:53;;22.01.2022 07:53;;04;AGU;Jesús María
97;S;22.01.2022 07:53;;22.01.2022 07:53;;04;BCN;Tijuana
98;S;22.01.2022 07:53;;22.01.2022 07:53;;04;BCS;San José del Cabo
99;S;22.01.2022 07:53;;22.01.2022 07:53;;04;CAM;Candelaria
100;S;22.01.2022 07:53;;22.01.2022 07:53;;04;COA;Monclova
101;S;22.01.2022 07:53;;22.01.2022 07:53;;04;COL;Ciudad de Villa de Álvarez
102;S;22.01.2022 07:53;;22.01.2022 07:53;;04;CHH;Delicias
103;S;22.01.2022 07:53;;22.01.2022 07:53;;04;CHP;Tuxtla Gutiérrez
104;S;22.01.2022 07:53;;22.01.2022 07:53;;04;DIF;Ciudad de México
105;S;22.01.2022 07:53;;22.01.2022 07:53;;04;DUR;Santiago Papasquiaro
106;S;22.01.2022 07:53;;22.01.2022 07:53;;04;GRO;Taxco de Alarcón
107;S;22.01.2022 07:53;;22.01.2022 07:53;;04;GUA;Cortazar
108;S;22.01.2022 07:53;;22.01.2022 07:53;;04;HID;Cd. de Fray Bernardino de Sahagún
109;S;22.01.2022 07:53;;22.01.2022 07:53;;04;JAL;Lagos de Moreno
110;S;22.01.2022 07:53;;22.01.2022 07:53;;04;MEX;Cuautitlán Izcalli
