ID;ACTIVO;CREADO;CREADOPOR_USERID;MODIFICADO;MODIFICADOPOR_USERID;CLAVE;DESCRIPCION;CLASE;PELIGRO_SECUNDARIO;NOMBRE_TECNICO;FECHAINICIO;FECHAFIN
1;S;07.02.2022 11:44;;07.02.2022 11:44;;0004;PICRATO DE AMONIO seco o humedecido con menos de 10%, en masa, de agua?;1.1D;;;12.01.2021;
2;S;07.02.2022 11:44;;07.02.2022 11:44;;0005;CARTUCHOS PARA ARMAS, con carga explosiva?;1.1F;;;12.01.2021;
3;S;07.02.2022 11:44;;07.02.2022 11:44;;0006;CARTUCHOS PARA ARMAS, con carga explosiva?;1.1E;;;12.01.2021;
4;S;07.02.2022 11:44;;07.02.2022 11:44;;0007;CARTUCHOS PARA ARMAS, con carga explosiva?;1.2F;;;12.01.2021;
5;S;07.02.2022 11:44;;07.02.2022 11:44;;0009;MUNICIONES INCENDIARIAS con o sin carga detonante, carga expulsora o carga propulsora?;1.2G;;;12.01.2021;
6;S;07.02.2022 11:44;;07.02.2022 11:44;;0010;MUNICIONES INCENDIARIAS con o sin carga detonante carga expulsora o carga propulsora?;1.3G;;;12.01.2021;
7;S;07.02.2022 11:44;;07.02.2022 11:44;;0012;CARTUCHOS PARA ARMAS, CON PROYECTIL INERTE, o CARTUCHOS PARA ARMAS DE PEQUEÑO CALIBRE?;1.4S;;;12.01.2021;
8;S;07.02.2022 11:44;;07.02.2022 11:44;;0014;CARTUCHOS PARA ARMAS, SIN BALA, o CARTUCHOS PARA ARMAS DE PEQUEÑO CALIBRE, SIN BALA?;1.4S;;;12.01.2021;
9;S;07.02.2022 11:44;;07.02.2022 11:44;;0015;MUNICIONES FUMIGENAS con o sin carga detonante carga expulsora o carga propulsora?;1.2G;;;12.01.2021;
10;S;07.02.2022 11:44;;07.02.2022 11:44;;0016;MUNICIONES FUMIGENAS con o sin carga detonante, carga expulsora o carga propulsora?;1.3G;;;12.01.2021;
11;S;07.02.2022 11:44;;07.02.2022 11:44;;0018;MUNICIONES LACRIMOGENAS con carga detonante, carga expulsora o carga propulsora?;1.2G;6.1 8;;12.01.2021;
12;S;07.02.2022 11:44;;07.02.2022 11:44;;0019;MUNICIONES LACRIMOGENAS con carga detonante, carga expulsora o carga propulsora?;1.3G;6.1 8;;12.01.2021;
