id;sat_clave;sat_descripcion;sat_decimales;sat_variacion
1;AED;Dirham de EAU;2;5
2;AFN;Afghani;2;5
3;ALL;Lek;2;5
4;AMD;Dram armenio;2;5
5;ANG;Florín antillano neerlandés;2;5
6;AOA;Kwanza;2;5
7;ARS;Peso Argentino;2;5
8;AUD;Dólar Australiano;2;5
9;AWG;Aruba Florin;2;5
10;AZN;Azerbaijanian Manat;2;5
11;BAM;Convertibles marca;2;5
12;BBD;Dólar de Barbados;2;5
13;BDT;Taka;2;5
14;BGN;Lev búlgaro;2;5
15;BHD;Dinar de Bahrein;3;5
16;BIF;Burundi Franc;0;5
17;BMD;Dólar de Bermudas;2;5
18;BND;Dólar de Brunei;2;5
19;BOB;Boliviano;2;5
20;BOV;Mvdol;2;5
21;BRL;Real brasileño;2;5
22;BSD;Dólar de las Bahamas;2;5
23;BTN;Ngultrum;2;5
24;BWP;Pula;2;5
25;BYR;Rublo bielorruso;0;5
26;BZD;Dólar de Belice;2;5
27;CAD;Dolar Canadiense;2;5
28;CDF;Franco congoleño;2;5
29;CHE;WIR Euro;2;5
30;CHF;Franco Suizo;2;5
31;CHW;Franc WIR;2;5
32;CLF;Unidad de Fomento;4;5
33;CLP;Peso chileno;0;5
34;CNY;Yuan Renminbi;2;5
35;COP;Peso Colombiano;2;5
36;COU;Unidad de Valor real;2;5
37;CRC;Colón costarricense;2;5
38;CUC;Peso Convertible;2;5
39;CUP;Peso Cubano;2;5
40;CVE;Cabo Verde Escudo;2;5
41;CZK;Corona checa;2;5
42;DJF;Franco de Djibouti;0;5
43;DKK;Corona danesa;2;5
44;DOP;Peso Dominicano;2;5
45;DZD;Dinar argelino;2;5
46;EGP;Libra egipcia;2;5
47;ERN;Nakfa;2;5
48;ETB;Birr etíope;2;5
49;EUR;Euro;2;5
50;FJD;Dólar de Fiji;2;5
51;FKP;Libra malvinense;2;5
52;GBP;Libra Esterlina;2;5
53;GEL;Lari;2;5
54;GHS;Cedi de Ghana;2;5
55;GIP;Libra de Gibraltar;2;5
56;GMD;Dalasi;2;5
57;GNF;Franco guineano;0;5
58;GTQ;Quetzal;2;5
59;GYD;Dólar guyanés;2;5
60;HKD;Dolar De Hong Kong;2;5
61;HNL;Lempira;2;5
62;HRK;Kuna;2;5
63;HTG;Gourde;2;5
64;HUF;Florín;2;5
65;IDR;Rupia;2;5
66;ILS;Nuevo Shekel Israelí;2;5
67;INR;Rupia india;2;5
68;IQD;Dinar iraquí;3;5
69;IRR;Rial iraní;2;5
70;ISK;Corona islandesa;0;5
71;JMD;Dólar Jamaiquino;2;5
72;JOD;Dinar jordano;3;5
73;JPY;Yen;0;5
74;KES;Chelín keniano;2;5
75;KGS;Som;2;5
76;KHR;Riel;2;5
77;KMF;Franco Comoro;0;5
78;KPW;Corea del Norte ganó;2;5
79;KRW;Won;0;5
80;KWD;Dinar kuwaití;3;5
81;KYD;Dólar de las Islas Caimán;2;5
82;KZT;Tenge;2;5
83;LAK;Kip;2;5
84;LBP;Libra libanesa;2;5
85;LKR;Rupia de Sri Lanka;2;5
86;LRD;Dólar liberiano;2;5
87;LSL;Loti;2;5
88;LYD;Dinar libio;3;5
89;MAD;Dirham marroquí;2;5
90;MDL;Leu moldavo;2;5
91;MGA;Ariary malgache;2;5
92;MKD;Denar;2;5
93;MMK;Kyat;2;5
94;MNT;Tugrik;2;5
95;MOP;Pataca;2;5
96;MRO;Ouguiya;2;5
97;MUR;Rupia de Mauricio;2;5
98;MVR;Rupia;2;5
99;MWK;Kwacha;2;5
