ID;ACTIVO;CREADO;CREADOPOR_USERID;MODIFICADO;MODIFICADOPOR_USERID;CLAVE_MUNICIPIO;CLAVE_ESTADO;DESCRIPCION
1;S;22.01.2022 07:53;;22.01.2022 07:53;;001;AGU;Aguascalientes
2;S;22.01.2022 07:53;;22.01.2022 07:53;;001;BCN;Ensenada
3;S;22.01.2022 07:53;;22.01.2022 07:53;;001;BCS;Comondú
4;S;22.01.2022 07:53;;22.01.2022 07:53;;001;CAM;Calkiní
5;S;22.01.2022 07:53;;22.01.2022 07:53;;001;COA;Abasolo
6;S;22.01.2022 07:53;;22.01.2022 07:53;;001;COL;Armería
7;S;22.01.2022 07:53;;22.01.2022 07:53;;001;CHH;Ahumada
8;S;22.01.2022 07:53;;22.01.2022 07:53;;001;CHP;Acacoyagua
9;S;22.01.2022 07:53;;22.01.2022 07:53;;001;DUR;Canatlán
10;S;22.01.2022 07:53;;22.01.2022 07:53;;001;GRO;Acapulco de Juárez
11;S;22.01.2022 07:53;;22.01.2022 07:53;;001;GUA;Abasolo
12;S;22.01.2022 07:53;;22.01.2022 07:53;;001;HID;Acatlán
13;S;22.01.2022 07:53;;22.01.2022 07:53;;001;JAL;Acatic
14;S;22.01.2022 07:53;;22.01.2022 07:53;;001;MEX;Acambay de Ruíz Castañeda
15;S;22.01.2022 07:53;;22.01.2022 07:53;;001;MIC;Acuitzio
16;S;22.01.2022 07:53;;22.01.2022 07:53;;001;MOR;Amacuzac
17;S;22.01.2022 07:53;;22.01.2022 07:53;;001;NAY;Acaponeta
18;S;22.01.2022 07:53;;22.01.2022 07:53;;001;NLE;Abasolo
19;S;22.01.2022 07:53;;22.01.2022 07:53;;001;OAX;Abejones
20;S;22.01.2022 07:53;;22.01.2022 07:53;;001;PUE;Acajete
21;S;22.01.2022 07:53;;22.01.2022 07:53;;001;QUE;Amealco de Bonfil
22;S;22.01.2022 07:53;;22.01.2022 07:53;;001;ROO;Cozumel
23;S;22.01.2022 07:53;;22.01.2022 07:53;;001;SIN;Ahome
24;S;22.01.2022 07:53;;22.01.2022 07:53;;001;SLP;Ahualulco
25;S;22.01.2022 07:53;;22.01.2022 07:53;;001;SON;Aconchi
26;S;22.01.2022 07:53;;22.01.2022 07:53;;001;TAB;Balancán
27;S;22.01.2022 07:53;;22.01.2022 07:53;;001;TAM;Abasolo
28;S;22.01.2022 07:53;;22.01.2022 07:53;;001;TLA;Amaxac de Guerrero
29;S;22.01.2022 07:53;;22.01.2022 07:53;;001;VER;Acajete
30;S;22.01.2022 07:53;;22.01.2022 07:53;;001;YUC;Abalá
31;S;22.01.2022 07:53;;22.01.2022 07:53;;001;ZAC;Apozol
32;S;22.01.2022 07:53;;22.01.2022 07:53;;002;AGU;Asientos
33;S;22.01.2022 07:53;;22.01.2022 07:53;;002;BCN;Mexicali
34;S;22.01.2022 07:53;;22.01.2022 07:53;;002;BCS;Mulegé
35;S;22.01.2022 07:53;;22.01.2022 07:53;;002;CAM;Campeche
36;S;22.01.2022 07:53;;22.01.2022 07:53;;002;COA;Acuña
37;S;22.01.2022 07:53;;22.01.2022 07:53;;002;COL;Colima
38;S;22.01.2022 07:53;;22.01.2022 07:53;;002;CHH;Aldama
39;S;22.01.2022 07:53;;22.01.2022 07:53;;002;CHP;Acala
40;S;22.01.2022 07:53;;22.01.2022 07:53;;002;DIF;Azcapotzalco
41;S;22.01.2022 07:53;;22.01.2022 07:53;;002;DUR;Canelas
42;S;22.01.2022 07:53;;22.01.2022 07:53;;002;GRO;Ahuacuotzingo
43;S;22.01.2022 07:53;;22.01.2022 07:53;;002;GUA;Acámbaro
44;S;22.01.2022 07:53;;22.01.2022 07:53;;002;HID;Acaxochitlán
45;S;22.01.2022 07:53;;22.01.2022 07:53;;002;JAL;Acatlán de Juárez
46;S;22.01.2022 07:53;;22.01.2022 07:53;;002;MEX;Acolman
47;S;22.01.2022 07:53;;22.01.2022 07:53;;002;MIC;Aguililla
48;S;22.01.2022 07:53;;22.01.2022 07:53;;002;MOR;Atlatlahucan
49;S;22.01.2022 07:53;;22.01.2022 07:53;;002;NAY;Ahuacatlán
50;S;22.01.2022 07:53;;22.01.2022 07:53;;002;NLE;Agualeguas
51;S;22.01.2022 07:53;;22.01.2022 07:53;;002;OAX;Acatlán de Pérez Figueroa
52;S;22.01.2022 07:53;;22.01.2022 07:53;;002;PUE;Acateno
53;S;22.01.2022 07:53;;22.01.2022 07:53;;002;QUE;Pinal de Amoles
54;S;22.01.2022 07:53;;22.01.2022 07:53;;002;ROO;Felipe Carrillo Puerto
55;S;22.01.2022 07:53;;22.01.2022 07:53;;002;SIN;Angostura
56;S;22.01.2022 07:53;;22.01.2022 07:53;;002;SLP;Alaquines
57;S;22.01.2022 07:53;;22.01.2022 07:53;;002;SON;Agua Prieta
58;S;22.01.2022 07:53;;22.01.2022 07:53;;002;TAB;Cárdenas
59;S;22.01.2022 07:53;;22.01.2022 07:53;;002;TAM;Aldama
60;S;22.01.2022 07:53;;22.01.2022 07:53;;002;TLA;Apetatitlán de Antonio Carvajal
61;S;22.01.2022 07:53;;22.01.2022 07:53;;002;VER;Acatlán
62;S;22.01.2022 07:53;;22.01.2022 07:53;;002;YUC;Acanceh
63;S;22.01.2022 07:53;;22.01.2022 07:53;;002;ZAC;Apulco
64;S;22.01.2022 07:53;;22.01.2022 07:53;;003;AGU;Calvillo
65;S;22.01.2022 07:53;;22.01.2022 07:53;;003;BCN;Tecate
66;S;22.01.2022 07:53;;22.01.2022 07:53;;003;BCS;La Paz
67;S;22.01.2022 07:53;;22.01.2022 07:53;;003;CAM;Carmen
68;S;22.01.2022 07:53;;22.01.2022 07:53;;003;COA;Allende
69;S;22.01.2022 07:53;;22.01.2022 07:53;;003;COL;Comala
70;S;22.01.2022 07:53;;22.01.2022 07:53;;003;CHH;Allende
71;S;22.01.2022 07:53;;22.01.2022 07:53;;003;CHP;Acapetahua
72;S;22.01.2022 07:53;;22.01.2022 07:53;;003;DIF;Coyoacán
73;S;22.01.2022 07:53;;22.01.2022 07:53;;003;DUR;Coneto de Comonfort
