id;sat_clave;sat_descripcion;sat_formatocp;sat_formatorit;sat_validacionrit;sat_agrupaciones
1;AFG;Afganistan;null;null;null;null
2;ALA;Islas Aland;null;null;null;null
3;ALB;Albania;null;null;null;null
4;DEU;Alemania;null;null;null;Union Europea
5;AND;Andorra;null;null;null;null
6;AGO;Angola;null;null;null;null
7;AIA;Anguila;null;null;null;null
8;ATA;Antartida;null;null;null;null
9;ATG;Antigua y Barbuda;null;null;null;null
10;SAU;Arabia Saudita;null;null;null;null
11;DZA;Argelia;null;null;null;null
12;ARG;Argentina;null;null;null;null
13;ARM;Armenia;null;null;null;null
14;ABW;Aruba;null;null;null;null
15;AUS;Australia;null;null;null;null
16;AUT;Austria;null;null;null;Union Europea
17;AZE;Azerbaiyan;null;null;null;null
18;BHS;Bahamas (las);null;null;null;null
19;BGD;Bangladi©s;null;null;null;null
20;BRB;Barbados;null;null;null;null
21;BHR;Bari©in;null;null;null;null
22;BEL;Bi©lgica;null;null;null;Union Europea
23;BLZ;Belice;null;null;null;null
24;BEN;Benin;null;null;null;null
25;BMU;Bermudas;null;null;null;null
26;BLR;Bielorrusia;null;null;null;null
27;MMR;Myanmar;null;null;null;null
28;BOL;Bolivia, Estado Plurinacional de;null;null;null;null
29;BIH;Bosnia y Herzegovina;null;null;null;null
30;BWA;Botsuana;null;null;null;null
31;BRA;Brasil;null;null;null;null
32;BRN;Bruni©i Darussalam;null;null;null;null
33;BGR;Bulgaria;null;null;null;Union Europea
34;BFA;Burkina Faso;null;null;null;null
35;BDI;Burundi;null;null;null;null
36;BTN;Butan;null;null;null;null
37;CPV;Cabo Verde;null;null;null;null
38;KHM;Camboya;null;null;null;null
39;CMR;Camerun;null;null;null;null
40;CAN;Canada;[A-Z][0-9][A-Z] [0-9][A-Z][0-9];[0-9]{9};null;TLCAN
41;QAT;Catar;null;null;null;null
42;BES;Bonaire, San Eustaquio y Saba;null;null;null;null
43;TCD;Chad;null;null;null;null
44;CHL;Chile;null;null;null;null
45;CHN;China;null;null;null;null
46;CYP;Chipre;null;null;null;Union Europea
47;COL;Colombia;null;null;null;null
48;COM;Comoras;null;null;null;null
49;PRK;Corea (la Republica Democratica Popular de);null;null;null;null
50;KOR;Corea (la Republica de);null;null;null;null
51;CIV;Cte dIvoire;null;null;null;null
52;CRI;Costa Rica;null;null;null;null
53;HRV;Croacia;null;null;null;Union Europea
54;CUB;Cuba;null;null;null;null
55;CUW;Curazao;null;null;null;null
56;DNK;Dinamarca;null;null;null;Union Europea
57;DMA;Dominica;null;null;null;null
58;ECU;Ecuador;null;null;null;null
59;EGY;Egipto;null;null;null;null
60;SLV;El Salvador;null;null;null;null
61;ARE;Emiratos irabes Unidos (Los);null;null;null;null
62;ERI;Eritrea;null;null;null;null
63;SVK;Eslovaquia;null;null;null;Union Europea
64;SVN;Eslovenia;null;null;null;Union Europea
65;ESP;España;null;null;null;Union Europea
66;USA;Estados Unidos (los);[0-9]{5}(-[0-9]{4})?;[0-9]{9};null;TLCAN
67;EST;Estonia;null;null;null;Union Europea
68;ETH;Etiopia;null;null;null;null
69;PHL;Filipinas (las);null;null;null;null
70;FIN;Finlandia;null;null;null;Union Europea
