ID;ACTIVO;CREADO;CREADOPOR_USERID;MODIFICADO;MODIFICADOPOR_USERID;CLAVE;DESCRIPCION;FECHAINICIO;FECHAFIN
1;S;22.01.2022 07:53;;22.01.2022 07:53;;PT01;Camión unitario;01.12.2021;
2;S;22.01.2022 07:53;;22.01.2022 07:53;;PT02;Camión;01.12.2021;
3;S;22.01.2022 07:53;;22.01.2022 07:53;;PT03;Tractocamión;01.12.2021;
4;S;22.01.2022 07:53;;22.01.2022 07:53;;PT04;Remolque;01.12.2021;
5;S;22.01.2022 07:53;;22.01.2022 07:53;;PT05;Semirremolque;01.12.2021;
6;S;22.01.2022 07:53;;22.01.2022 07:53;;PT06;Vehículo ligero de carga;01.12.2021;
7;S;22.01.2022 07:53;;22.01.2022 07:53;;PT07;Grúa;01.12.2021;
8;S;22.01.2022 07:53;;22.01.2022 07:53;;PT08;Aeronave;01.12.2021;
9;S;22.01.2022 07:53;;22.01.2022 07:53;;PT09;Barco o buque;01.12.2021;
10;S;22.01.2022 07:53;;22.01.2022 07:53;;PT10;Carro o vagón;01.12.2021;
11;S;22.01.2022 07:53;;22.01.2022 07:53;;PT11;Contenedor;01.12.2021;
12;S;22.01.2022 07:53;;22.01.2022 07:53;;PT12;Locomotora;01.12.2021;
