id;sat_clave;sat_fechainicio;sat_fechafin
1;0;1/1/2000;null
2;74;7/3/2001;null
3;101;5/21/2001;null
4;115;5/17/2001;null
5;122;5/14/2001;null
6;123;5/16/2001;null
7;149;5/21/2001;null
8;150;5/22/2001;null
9;182;5/21/2001;null
10;188;5/23/2001;null
11;203;5/18/2001;null
12;205;5/21/2001;null
13;227;5/17/2001;null
14;246;5/21/2001;null
15;247;5/23/2001;null
16;271;7/31/2001;null
17;273;5/11/2001;null
18;276;6/21/2001;null
19;289;5/17/2001;null
20;294;5/21/2001;null
21;309;5/21/2001;null
22;310;5/23/2001;null
23;312;5/14/2001;null
24;316;5/21/2001;null
25;318;7/31/2001;null
26;321;5/18/2001;null
27;323;5/18/2001;null
28;327;5/21/2001;null
29;328;5/18/2001;null
30;334;5/14/2001;null
31;339;5/15/2001;null
32;347;5/21/2001;null
33;348;5/15/2001;null
34;350;5/17/2001;null
35;361;6/12/2001;null
36;368;5/15/2001;null
37;381;5/16/2001;null
38;382;5/17/2001;null
39;387;5/22/2001;null
40;388;5/17/2001;null
41;389;5/21/2001;null
42;390;8/1/2001;null
43;394;5/18/2001;null
44;398;6/15/2001;null
45;400;5/22/2001;null
46;401;6/12/2001;null
47;403;5/16/2001;null
48;404;5/22/2001;null
49;406;5/21/2001;null
50;407;5/18/2001;null
51;411;7/31/2001;null
52;412;5/8/2001;null
53;413;5/15/2001;null
54;414;5/21/2001;null
55;418;5/18/2001;null
56;419;5/17/2001;null
57;420;5/16/2001;null
58;424;5/21/2001;null
59;425;5/16/2001;null
60;426;5/21/2001;null
61;427;5/16/2001;null
62;428;6/8/2001;null
63;429;5/18/2001;null
64;430;5/22/2001;null
65;432;6/18/2001;null
66;438;5/15/2001;null
67;440;5/18/2001;null
68;441;10/19/2001;null
69;442;5/22/2001;null
70;444;5/18/2001;null
71;445;5/18/2001;null
72;447;5/23/2001;null
73;449;5/21/2001;null
74;451;5/11/2001;null
75;454;6/29/2001;null
76;457;5/21/2001;null
77;460;5/21/2001;null
78;462;5/15/2001;null
79;464;5/21/2001;null
80;465;5/17/2001;null
81;467;5/15/2001;null
82;469;5/21/2001;null
83;472;5/16/2001;null
84;474;7/1/2002;null
85;476;5/22/2001;null
86;477;5/18/2001;null
87;478;5/22/2001;null
88;480;5/14/2001;null
89;481;5/21/2001;null
90;482;5/15/2001;null
91;483;5/15/2001;null
92;485;5/18/2001;null
93;486;5/18/2001;null
94;487;5/22/2001;null
95;489;5/18/2001;null
96;491;5/18/2001;null
