id;sat_claveaduana;sat_patente;sat_ejercicio;sat_cantidad;sat_fechainicio;sat_fechafin
1;43;247;2,008;000011;1/1/2017;null
2;44;273;2,007;004447;1/1/2017;null
3;44;273;2,008;003556;1/1/2017;null
4;44;273;2,009;004506;1/1/2017;null
5;44;273;2,010;004413;1/1/2017;null
6;44;273;2,011;004380;1/1/2017;null
7;43;323;2,007;000033;1/1/2017;null
8;43;323;2,008;000047;1/1/2017;null
9;43;323;2,009;000048;1/1/2017;null
10;43;323;2,010;000065;1/1/2017;null
11;43;323;2,011;000125;1/1/2017;null
12;43;323;2,012;000212;1/1/2017;null
13;43;323;2,013;000388;1/1/2017;null
14;43;323;2,014;000291;1/1/2017;null
15;43;323;2,015;500673;1/1/2017;null
16;43;323;2,016;600492;1/1/2017;null
17;43;323;2,017;999999;4/28/2017;null
18;47;327;2,007;003236;1/1/2017;null
19;47;327;2,008;004114;1/1/2017;null
20;47;327;2,009;000411;1/1/2017;null
21;47;327;2,010;001545;1/1/2017;null
22;47;327;2,011;006123;1/1/2017;null
23;47;327;2,012;008583;1/1/2017;null
24;47;327;2,013;300093;1/1/2017;null
25;30;334;2,007;010324;1/1/2017;null
26;30;334;2,008;004664;1/1/2017;null
27;28;348;2,007;005221;1/1/2017;null
28;28;348;2,008;004000;1/1/2017;null
29;28;348;2,009;004076;1/1/2017;null
30;28;348;2,010;002527;1/1/2017;null
31;28;348;2,011;004226;1/1/2017;null
32;28;348;2,012;002301;1/1/2017;null
33;28;348;2,013;001598;1/1/2017;null
34;28;348;2,014;001526;1/1/2017;null
35;28;348;2,015;001446;1/1/2017;null
36;28;348;2,016;001005;1/1/2017;null
37;28;348;2,017;999999;4/28/2017;null
38;43;361;2,007;000406;1/1/2017;null
39;24;407;2,007;002966;1/1/2017;null
40;24;407;2,008;003797;1/1/2017;null
41;24;407;2,009;004104;1/1/2017;null
42;24;407;2,010;004531;1/1/2017;null
43;24;407;2,011;005133;1/1/2017;null
44;24;407;2,012;004669;1/1/2017;null
45;24;407;2,013;003986;1/1/2017;null
46;24;407;2,014;004866;1/1/2017;null
47;24;407;2,015;004356;1/1/2017;null
48;24;407;2,016;003770;1/1/2017;null
49;24;407;2,017;999999;4/28/2017;null
50;30;419;2,007;007234;1/1/2017;null
51;30;419;2,008;111111;1/1/2017;null
52;30;419;2,009;080051;1/1/2017;null
53;30;419;2,010;000950;1/1/2017;null
54;30;419;2,011;001035;1/1/2017;null
55;7;428;2,007;023105;1/1/2017;null
56;7;428;2,008;018279;1/1/2017;null
57;7;428;2,009;009838;1/1/2017;null
58;7;428;2,010;009785;1/1/2017;null
59;7;428;2,011;008712;1/1/2017;null
60;7;428;2,012;000958;1/1/2017;null
61;19;441;2,007;005234;1/1/2017;null
62;19;441;2,008;004701;1/1/2017;null
63;19;441;2,009;003941;1/1/2017;null
64;19;441;2,010;003323;1/1/2017;null
65;23;457;2,007;064635;1/1/2017;null
66;23;457;2,008;080207;1/1/2017;null
67;23;457;2,009;903290;1/1/2017;null
68;23;457;2,010;053638;1/1/2017;null
69;23;457;2,011;905577;1/1/2017;null
70;23;457;2,012;082538;1/1/2017;null
71;23;457;2,013;018412;1/1/2017;null
