ID;ACTIVO;CREADO;CREADOPOR_USERID;MODIFICADO;MODIFICADOPOR_USERID;CLAVE;DESCRIPCION;FECHAINICIO;FECHAFIN
1;S;22.01.2022 07:53;;22.01.2022 07:53;;CTR001;Caballete;01.06.2021;
2;S;22.01.2022 07:53;;22.01.2022 07:53;;CTR002;Caja;01.06.2021;
3;S;22.01.2022 07:53;;22.01.2022 07:53;;CTR003;Caja Abierta;01.06.2021;
4;S;22.01.2022 07:53;;22.01.2022 07:53;;CTR004;Caja Cerrada;01.06.2021;
5;S;22.01.2022 07:53;;22.01.2022 07:53;;CTR005;Caja De Recolección Con Cargador Frontal;01.06.2021;
6;S;22.01.2022 07:53;;22.01.2022 07:53;;CTR006;Caja Refrigerada;01.06.2021;
7;S;22.01.2022 07:53;;22.01.2022 07:53;;CTR007;Caja Seca;01.06.2021;
8;S;22.01.2022 07:53;;22.01.2022 07:53;;CTR008;Caja Transferencia;01.06.2021;
9;S;22.01.2022 07:53;;22.01.2022 07:53;;CTR009;Cama Baja o Cuello Ganso;01.06.2021;
10;S;22.01.2022 07:53;;22.01.2022 07:53;;CTR010;Chasis Portacontenedor;01.06.2021;
11;S;22.01.2022 07:53;;22.01.2022 07:53;;CTR011;Convencional De Chasis;01.06.2021;
12;S;22.01.2022 07:53;;22.01.2022 07:53;;CTR012;Equipo Especial;01.06.2021;
13;S;22.01.2022 07:53;;22.01.2022 07:53;;CTR013;Estacas;01.06.2021;
14;S;22.01.2022 07:53;;22.01.2022 07:53;;CTR014;Góndola Madrina;01.06.2021;
15;S;22.01.2022 07:53;;22.01.2022 07:53;;CTR015;Grúa Industrial;01.06.2021;
16;S;22.01.2022 07:53;;22.01.2022 07:53;;CTR016;Grúa;01.06.2021;
17;S;22.01.2022 07:53;;22.01.2022 07:53;;CTR017;Integral;01.06.2021;
18;S;22.01.2022 07:53;;22.01.2022 07:53;;CTR018;Jaula;01.06.2021;
19;S;22.01.2022 07:53;;22.01.2022 07:53;;CTR019;Media Redila;01.06.2021;
20;S;22.01.2022 07:53;;22.01.2022 07:53;;CTR020;Pallet o Celdillas;01.06.2021;
21;S;22.01.2022 07:53;;22.01.2022 07:53;;CTR021;Plataforma;01.06.2021;
22;S;22.01.2022 07:53;;22.01.2022 07:53;;CTR022;Plataforma Con Grúa;01.06.2021;
23;S;22.01.2022 07:53;;22.01.2022 07:53;;CTR023;Plataforma Encortinada;01.06.2021;
24;S;22.01.2022 07:53;;22.01.2022 07:53;;CTR024;Redilas;01.06.2021;
25;S;22.01.2022 07:53;;22.01.2022 07:53;;CTR025;Refrigerador;01.06.2021;
26;S;22.01.2022 07:53;;22.01.2022 07:53;;CTR026;Revolvedora;01.06.2021;
27;S;22.01.2022 07:53;;22.01.2022 07:53;;CTR027;Semicaja;01.06.2021;
28;S;22.01.2022 07:53;;22.01.2022 07:53;;CTR028;Tanque;01.06.2021;
29;S;22.01.2022 07:53;;22.01.2022 07:53;;CTR029;Tolva;01.06.2021;
30;S;22.01.2022 07:53;;22.01.2022 07:53;;CTR031;Volteo;01.06.2021;
31;S;22.01.2022 07:53;;22.01.2022 07:53;;CTR032;Volteo Desmontable;01.06.2021;
