id;sat_rangofijo;sat_valorminimo;sat_valormaximo;sat_impuesto;sat_factor;sat_traslado;sat_retencion;sat_fechainicio;sat_fechafin
1;Rango;0;0.16;IVA;Tasa;No;Sí;1/1/2017;null
2;Fijo;null;0.265;IEPS;Tasa;Sí;Sí;1/1/2017;null
3;Fijo;null;0.3;IEPS;Tasa;Sí;Sí;1/1/2017;null
4;Fijo;null;0.53;IEPS;Tasa;Sí;Sí;1/1/2017;null
5;Fijo;null;0.5;IEPS;Tasa;Sí;Sí;1/1/2017;null
6;Fijo;null;1.6;IEPS;Tasa;Sí;Sí;1/1/2017;null
7;Fijo;null;0.304;IEPS;Tasa;Sí;Sí;1/1/2017;null
8;Fijo;null;0.25;IEPS;Tasa;Sí;Sí;1/1/2017;null
9;Fijo;null;0.09;IEPS;Tasa;Sí;Sí;1/1/2017;null
10;Fijo;null;0.08;IEPS;Tasa;Sí;Sí;1/1/2017;null
11;Fijo;null;0.07;IEPS;Tasa;Sí;Sí;1/1/2017;null
12;Fijo;null;0.06;IEPS;Tasa;Sí;Sí;1/1/2017;null
13;Fijo;null;0.03;IEPS;Tasa;Sí;No;1/1/2017;null
14;Fijo;null;0;IEPS;Tasa;Sí;No;1/1/2017;null
15;Rango;0;43.77;IEPS;Cuota;Sí;Sí;1/1/2017;null
16;Rango;0;0.35;ISR;Tasa;No;Sí;1/1/2017;null
17;Fijo;0;0;IVA;Tasa;Sí;No;1/1/2017;1/1/2017
18;Fijo;0;0.16;IVA;Tasa;Sí;No;1/1/2017;1/1/2017
