id;sat_clave;sat_nombre;sat_descripcion;sat_fechainicio;sat_fechafin;sat_simbolo
1;C81;Radián;Es la unidad de medida de un ángulo con vértice en el centro de un círculo cuyos lados son cortados por el arco de la circunferencia, y que además dicho arco tiene una longitud igual a la del radio.;1/1/2017;1/1/2017;rad
2;C25;Milirradián;Es una unidad derivada sistema internacional para la medición angular , que se define como una milésima parte de un radián (0,001 radianes).;1/1/2017;1/1/2017;mrad
3;B97;Microrradián;Unidad de distancia angular igual a una milésima de milliradian. Unidad angular - una unidad de medida para ángulos.;1/1/2017;1/1/2017;µrad
4;DD;Grado [unidad de ángulo];Es el resultado de dividir el ángulo llano en 180 partes iguales.;1/1/2017;1/1/2017;°
5;D61;Minuto [unidad de ángulo];Es una sexagesima parte de un grado.;1/1/2017;1/1/2017;
