id;clave;nombre;tipodoctoid;direccion;formapagoid;mismocorte;traslado;concepto;reversionabono;montoocuenta;clasedoctocorte;importecambio
1;cancelacion;cancelacion;23;NA;null;NA;NA;NA;NA;M;NA;NA
2;cancelacionnotraslado;cancelacionnotraslado;23;NA;null;NA;N;NA;NA;M;NA;NA
3;cancelaciontraslado;cancelaciontraslado;23;NA;null;NA;S;NA;NA;M;NA;NA
4;compra;compra;11;NA;null;NA;NA;NA;NA;M;NA;NA
5;cancelacioncompra;cancelacioncompra;13;NA;null;NA;NA;NA;NA;M;NA;NA
6;devolucioncompra;devolucioncompra;12;NA;null;NA;NA;NA;NA;M;NA;NA
7;devolucion;devolucion;22;NA;null;NA;NA;NA;NA;M;NA;NA
8;devolucionnotraslado;devolucionnotraslado;23;NA;null;NA;NA;NA;NA;M;NA;NA
9;devoluciontraslado;devoluciontraslado;24;NA;null;NA;NA;NA;NA;M;NA;NA
10;fondeosdecaja;fondeosdecaja;68;NA;null;NA;NA;NA;NA;M;NA;NA
11;gastos;gastos;63;NA;null;NA;NA;NA;NA;M;NA;NA
12;retirosdecaja;retirosdecaja;62;NA;null;NA;NA;NA;NA;M;NA;NA
13;pagoproveedores;pagoproveedores;60;NA;null;NA;NA;NA;NA;M;NA;NA
14;retiro;retiro;61;NA;null;NA;NA;NA;NA;M;NA;NA
15;ventas;ventas;21;NA;null;NA;NA;NA;NA;M;NA;NA
16;ventasnotraslado;ventasnotraslado;21;NA;null;NA;N;NA;NA;M;NA;NA
17;ventastraslado;ventastraslado;21;NA;null;NA;S;NA;NA;M;NA;NA
18;numerocancelaciones;numerocancelaciones;23;NA;null;NA;NA;NA;NA;C;NA;NA
19;cancelacionnotraslado;cancelacionnotraslado;23;NA;null;NA;N;NA;NA;C;NA;NA
20;cancelaciontraslado;cancelaciontraslado;23;NA;null;NA;S;NA;NA;C;NA;NA
21;numerocancelacionesnotraslado;numerocancelacionesnotraslado;69;NA;null;NA;NA;NA;NA;C;NA;NA
22;numerocancelacionessolotraslado;numerocancelacionessolotraslado;65;NA;null;NA;NA;NA;NA;C;NA;NA
23;numerodevoluciones;numerodevoluciones;22;NA;null;NA;NA;NA;NA;C;NA;NA
24;numerodevolucionesnotraslado;numerodevolucionesnotraslado;22;NA;null;NA;N;NA;NA;C;NA;NA
25;numerodevolucionessolotraslado;numerodevolucionessolotraslado;22;NA;null;NA;S;NA;NA;C;NA;NA
26;numeroventa;numeroventa;21;NA;null;NA;NA;NA;NA;C;NA;NA
27;numeroventanotraslados;numeroventanotraslados;21;NA;null;NA;N;NA;NA;C;NA;NA
28;numeroventasolotraslados;numeroventasolotraslados;21;NA;null;NA;S;NA;NA;C;NA;NA
29;efectivo;efectivo;null;NA;1;NA;NA;NA;NA;M;N;NA
30;tarjeta;tarjeta;null;NA;2;NA;NA;NA;NA;M;N;NA
31;cheque;cheque;null;NA;3;NA;NA;NA;NA;M;N;NA
32;cambiocheque;cambiocheque;null;NA;3;NA;NA;NA;NA;M;N;S
33;credito;credito;null;NA;4;NA;NA;NA;NA;M;N;NA
34;vale;vale;null;NA;5;NA;NA;NA;NA;M;N;NA
35;monedero;monedero;null;NA;14;NA;NA;NA;NA;M;N;NA
36;transferencia;transferencia;null;NA;15;NA;NA;NA;NA;M;N;NA
37;noidentificado;noidentificado;null;NA;16;NA;NA;NA;NA;M;N;NA
