id;clave;nombre;esefectivo;abona;afectasaldopersona;afectasaldoapartados;sentidoabonopago;sentidoabono;afectasaldocorte
1;1 EFECTIVO;EFECTIVO;S;S;S;S;1;null;S
2;2 TARJETA;TARJETA DE CREDITO;N;S;S;S;1;null;S
3;3 CHEQUE;CHEQUE;N;S;S;S;1;null;S
4;4 CREDITO;CREDITO;N;N;N;N;0;null;N
5;5 VALE;VALE;N;S;S;S;1;null;S
6;6 PORNOTACREDITO;POR NOTA DE CREDITO;N;S;N;N;1;null;N
7;7 PORNOTADEBITO;POR NOTA DE DEBITO;N;S;N;N;1;null;N
8;8 NOTACREDITOAPARTADOCREDITO;POR NOTA DE CREDITO APARTADO CREDITO;N;S;S;S;1;null;N
9;9 NOTADEBITOAPARTADODEBITO;POR NOTA DE DEBITO APARTADO DEBITO;N;S;S;S;1;null;N
10;10 NOTACREDITOASIGNADA;NOTA CREDITO ASIGNADA MANUALMENTE;N;N;N;N;1;null;N
11;11 NOTADEBITOASIGNADA;NOTA DEBITO ASIGNADA MANUALMENTE;N;N;N;N;1;null;N
12;12 NOTACREDITOAPARTADOASIGNADA;NOTA CREDITO APARTADO CREDITO ASIGNADA;N;N;N;N;1;null;N
13;13 NOTADEBITOAPARTADOASIGNADO;NOTA DEBITO APARTADO DEBITO ASIGNADA;N;N;N;N;1;null;N
14;14 MONEDEROELECTRONICO;MONEDERO ELECTRONICO;N;S;S;S;1;null;S
15;15 TRANSFERENCIA;TRANSFERENCIA;N;S;S;S;1;null;S
16;16 NO IDENTIFICADO;NO IDENTIFICADO;N;S;S;S;1;null;S
17;17 POR PROCESO;POR PROCESO;N;S;S;S;1;null;N
18;18 INTERCAMBIOMERCANCIASCREDITO;INTERCAMBIO MERCANCIAS CREDITO;N;S;S;N;1;null;N
19;19 INTERCAMBIOMERCANCIASDEBITO;INTERCAMBIO MERCANCIAS DEBITO;N;S;S;N;1;null;N
20;20 DEPOSITO;DEPOSITO;N;S;S;S;1;null;S
21;21 DEPOSITO TERCEROS;DEPOSITO TERCEROS;N;S;S;S;1;null;S
22;22 AUTOMATICO;AUTOMATICO;N;S;S;S;1;null;S
10,006;10006 PORNOTACREDITO;POR NOTA DE CREDITO FUENTE;N;S;N;N;-1;null;N
10,007;10007 PORNOTADEBITO;POR NOTA DE DEBITO FUENTE;N;S;N;N;-1;null;N
10,008;10008 NOTACREDITOAPARTCREDITO;POR NOTA DE CREDITO APARTADO CREDITO FUENTE;N;S;S;S;-1;null;N
10,009;10009 NOTADEBITOAPARTDEBITO;POR NOTA DE DEBITO APARTADO DEBITO FUENTE;N;S;S;S;-1;null;N
10,010;10010 NOTACREDITOASIGNADA;NOTA CREDITO ASIGNADA MANUALMENTE FUENTE;N;N;N;N;-1;null;N
10,011;10011 NOTADEBITOASIGNADA;NOTA DEBITO ASIGNADA MANUALMENTE FUENTE;N;N;N;N;-1;null;N
10,012;10012 NOTACREDITOAPARTASIGNADA;NOTA CREDITO APARTADO CREDITO ASIGNADA FUENTE;N;N;N;N;-1;null;N
10,013;10013 NOTADEBITOAPARTASIGNADO;NOTA DEBITO APARTADO DEBITO ASIGNADA FUENTE;N;N;N;N;-1;null;N
10,018;10018 INTERCAMBIOMERCREDITO;INTERCAMBIO MERCANCIAS CREDITO MF;N;S;S;N;1;null;N
10,019;10019 INTERCAMBIOMERCDEBITO;INTERCAMBIO MERCANCIAS DEBITO MF;N;S;S;N;1;null;N
