Id;Nombretabla;Idgroupdef;Activo;Creado;Modificado
1;administracion.empresa;1;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
2;administracion.empresa_domicilio;1;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
3;administracion.parametro_grupo;1;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
4;administracion.parametro_tipo_dato;1;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
5;administracion.sucursal;1;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
6;administracion.sucursal_info;1;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
7;catalogos_control.clasedocto;1;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
8;catalogos_control.estadopais;1;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
9;catalogos_control.estatusdocto;1;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
10;catalogos_control.estatusdoctopedido;1;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
11;catalogos_control.estatusmovto;1;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
12;catalogos_control.meses;1;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
13;catalogos_control.origenfiscal;1;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
14;catalogos_control.subtipocliente;1;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
15;catalogos_control.subtipodocto;1;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
16;catalogos_control.subtipopersona;1;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
17;catalogos_control.tipocantidadmovto;1;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
18;catalogos_control.tipodocto;1;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
19;catalogos_control.tipodoctovente;1;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
20;catalogos_control.tipopersona;1;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
21;catalogos_control.tiporecarga;1;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
22;pagos_cat_ctrl.estatusdoctopago;1;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
23;pagos_cat_ctrl.estatuspago;1;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
24;pagos_cat_ctrl.formapago;1;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
25;pagos_cat_ctrl.motivo_camfec;1;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
26;pagos_cat_ctrl.subtipopago;1;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
27;pagos_cat_ctrl.tipoabono;1;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
28;pagos_cat_ctrl.tipoaplicacioncredito;1;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
29;pagos_cat_ctrl.tipomovimientokardexabono;1;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
30;pagos_cat_ctrl.tipopago;1;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
31;pagos_cat_ctrl.tiporelacionpago;1;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
32;precios_cat_ctrl.tipo_impuesto;1;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
33;precios_cat_ctrl.tipo_precio;1;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
34;precios_cat_ctrl.tipodescuentoprod;1;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
35;precios_cat_ctrl.tipodescuentovale;1;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
36;precios_cat_ctrl.tipoutilidad;1;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
37;administracion.parametros;2;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
38;catalogos.gruposucursal;3;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
39;catalogos.grupousuario;3;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
40;catalogos.linea;3;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
41;catalogos.marca;3;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
42;catalogos.moneda;3;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
43;catalogos.saludo;3;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
44;catalogos.tasaieps;3;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
45;catalogos.tasaiva;3;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
46;catalogos.unidad;3;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
47;catalogos_sat.formapagosat;4;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
48;catalogos_sat.sat_aduana;4;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
49;catalogos_sat.sat_impuesto;4;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
50;catalogos_sat.sat_metodopago;4;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
51;catalogos_sat.sat_pais;4;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
52;catalogos_sat.sat_productoservicio;4;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
53;catalogos_sat.sat_regimenfiscal;4;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
54;catalogos_sat.sat_tasacuota;4;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
55;catalogos_sat.sat_tipocomprobante;4;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
56;catalogos_sat.sat_tipofactor;4;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
57;catalogos_sat.sat_tiporelacion;4;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
58;catalogos_sat.sat_unidadmedida;4;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
59;catalogos_sat.sat_usocfdi;4;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
60;administracion.contacto;5;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
61;administracion.domicilio;5;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
62;administracion.persona;5;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
63;administracion.usuario;5;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
64;comision.cliente_comision;5;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
65;core.cliente;5;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
66;core.producto;5;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
67;core.proveedor;5;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
68;pagos.cliente_pago;5;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
69;pagos.cliente_pago_parametros;5;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
70;precios.cliente_precio;5;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
71;inventario.producto_existencia;6;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
72;inventario.producto_inventario;6;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
73;administracion.caja;7;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
74;administracion.domicilio;7;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
75;administracion.domicilio;7;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
76;administracion.persona;7;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
77;administracion.usuario;7;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
78;alerta.docto_alerta;7;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
79;apartado.docto_apartado;7;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
80;apartado.personaapartado;7;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
81;bancomer.docto_bancomer;7;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
82;catalogos_control.estatusdocto;7;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
83;catalogos_control.estatusdocto;7;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
84;catalogos_control.estatusdocto prekitestatus;7;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
85;catalogos_control.estatusdoctopedido;7;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
86;catalogos_control.estatusmovto;7;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
87;catalogos_control.origenfiscal;7;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
88;catalogos_control.subtipodocto;7;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
89;catalogos_sat.sat_usocfdi;7;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
90;cobranza.docto_cobranza;7;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
91;comision.docto_comision;7;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
92;comision.movto_comision;7;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
93;comodin.movto_comodin;7;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
94;compra.docto_compra;7;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
95;contrarecibos.contrarecibohdr;7;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
96;contrarecibos.docto_contrarecibo;7;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
97;core.cliente;7;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
98;core.docto;7;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
99;core.docto_cancelacion;7;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
100;core.docto_devolucion;7;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
101;core.movto;7;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
102;core.movto_cancelacion;7;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
103;core.movto_devolucion;7;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
104;core.producto;7;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
105;core.proveedor;7;S;2023-01-07 12:36:08.950378-06;2023-01-07 12:36:08.950378-06
